@relation InstanceResultListener

@attribute Key_Dataset {vowel}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256','-L 0.4 -M 0.05 -N 100 -V 10 -S 0 -E 20 -H 20 -B -do-not-check-capabilities -num-decimal-places 4 -batch-size 256'}
@attribute Key_Scheme_version_ID {-217733168393644444,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 111\nSize of the tree: 221\n','Number of leaves: 86\nSize of the tree: 171\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

vowel,1,1,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,78,21,0,78.787879,21.212121,0,0.766667,0.095625,0.194488,57.85323,67.652743,342.48373,152.323522,190.160208,3.459432,1.538621,1.92081,205.788008,2.078667,60.086944,0.888889,8,0.011111,1,0.988889,89,0.111111,1,0.888889,0.888889,0.888889,0.877778,0.937037,0.904274,0.787879,0.021212,0.978788,0.212121,0.805257,0.787879,0.784809,0.770918,0.919865,0.755901,0.784809,0.787879,0.185,0.01,0.18,0.01,180,10,71590,128107,16435,96.969697,91.827365,'Number of leaves: 95\nSize of the tree: 189\n',189,95,95
vowel,1,2,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,85,14,0,85.858586,14.141414,0,0.844444,0.08821,0.175987,53.366792,61.217332,342.48373,125.21887,217.26486,3.459432,1.264837,2.194595,223.859881,2.261211,65.363654,1,9,0,0,1,90,0,0,1,1,1,1,1,1,0.858586,0.014141,0.985859,0.141414,0.862725,0.858586,0.857893,0.845448,0.965095,0.877111,0.857893,0.858586,0.067,0.004,0.06,0,60,0,72306,128107,16435,100,91.460055,'Number of leaves: 96\nSize of the tree: 191\n',191,96,96
vowel,1,3,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,77,22,0,77.777778,22.222222,0,0.755556,0.097654,0.198446,59.080416,69.029654,342.48373,153.929983,188.553747,3.459432,1.554848,1.904583,200.377354,2.024014,58.507116,1,9,0,0,1,90,0,0,1,1,1,1,1,1,0.777778,0.022222,0.977778,0.222222,0.785114,0.777778,0.774484,0.756505,0.931538,0.761996,0.774484,0.777778,0.055,0.003,0.05,0.01,50,10,67294,128107,16435,100,92.102847,'Number of leaves: 89\nSize of the tree: 177\n',177,89,89
vowel,1,4,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,86,13,0,86.868687,13.131313,0,0.855556,0.090989,0.185166,55.048177,64.410059,342.48373,131.51355,210.97018,3.459432,1.32842,2.131012,218.450803,2.206574,63.784286,0.888889,8,0,0,1,90,0.111111,1,1,0.888889,0.941176,0.937614,0.962963,0.913889,0.868687,0.013131,0.986869,0.131313,0.878053,0.868687,0.865945,0.857372,0.959596,0.813399,0.865945,0.868687,0.044,0.005,0.04,0.01,40,10,73738,128107,16435,100,91.827365,'Number of leaves: 98\nSize of the tree: 195\n',195,98,98
vowel,1,5,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,78,21,0,78.787879,21.212121,0,0.766667,0.097674,0.202534,59.092919,70.451415,342.48373,162.965126,179.518604,3.459432,1.646112,1.813319,199.233078,2.012455,58.173005,0.666667,6,0.011111,1,0.988889,89,0.333333,3,0.857143,0.666667,0.75,0.735206,0.693827,0.683402,0.787879,0.021212,0.978788,0.212121,0.798896,0.787879,0.785178,0.769129,0.901291,0.742483,0.785178,0.787879,0.05,0.002,0.05,0,50,0,73022,128107,16435,95.959596,91.460055,'Number of leaves: 97\nSize of the tree: 193\n',193,97,97
vowel,1,6,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,85,14,0,85.858586,14.141414,0,0.844444,0.092493,0.185974,55.958276,64.691179,342.48373,138.84946,203.63427,3.459432,1.40252,2.056912,213.388341,2.155438,62.306125,1,9,0,0,1,90,0,0,1,1,1,1,1,1,0.858586,0.014141,0.985859,0.141414,0.87298,0.858586,0.860481,0.849524,0.94798,0.838898,0.860481,0.858586,0.06,0.001,0.05,0.01,50,10,78750,128107,16435,100,92.653811,'Number of leaves: 105\nSize of the tree: 209\n',209,105,105
vowel,1,7,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,77,22,0,77.777778,22.222222,0,0.755556,0.095349,0.198192,57.686141,68.941093,342.48373,155.480924,187.002806,3.459432,1.570514,1.888917,202.421132,2.044658,59.103868,0.888889,8,0.022222,2,0.977778,88,0.111111,1,0.8,0.888889,0.842105,0.826798,0.994444,0.951389,0.777778,0.022222,0.977778,0.222222,0.782706,0.777778,0.773363,0.755437,0.925196,0.739421,0.773363,0.777778,0.076,0.001,0.06,0,60,0,73022,128107,16435,100,90.633609,'Number of leaves: 97\nSize of the tree: 193\n',193,97,97
vowel,1,8,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,88,11,0,88.888889,11.111111,0,0.877778,0.088489,0.181142,53.535692,63.01033,342.48373,129.560029,212.923701,3.459432,1.308687,2.150744,224.775588,2.27046,65.631026,1,9,0,0,1,90,0,0,1,1,1,1,1,1,0.888889,0.011111,0.988889,0.111111,0.89697,0.888889,0.887247,0.879598,0.943266,0.82327,0.887247,0.888889,0.083,0.001,0.07,0,70,0,73738,128107,16435,100,91.460055,'Number of leaves: 98\nSize of the tree: 195\n',195,98,98
vowel,1,9,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,83,16,0,83.838384,16.161616,0,0.822222,0.091332,0.187179,55.255979,65.110415,342.48373,139.679749,202.803982,3.459432,1.410907,2.048525,214.516866,2.166837,62.635637,0.888889,8,0,0,1,90,0.111111,1,1,0.888889,0.941176,0.937614,0.975926,0.919192,0.838384,0.016162,0.983838,0.161616,0.845881,0.838384,0.836403,0.823778,0.945791,0.813337,0.836403,0.838384,0.066,0.001,0.05,0,50,0,72306,128107,16435,100,91.64371,'Number of leaves: 96\nSize of the tree: 191\n',191,96,96
