@relation InstanceResultListener

@attribute Key_Dataset {ionosphere}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256','-L 0.4 -M 0.05 -N 100 -V 10 -S 0 -E 20 -H 20 -B -do-not-check-capabilities -num-decimal-places 4 -batch-size 256'}
@attribute Key_Scheme_version_ID {-217733168393644444,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 18\nSize of the tree: 35\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

ionosphere,1,1,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,315,36,32,4,0,88.888889,11.111111,0,0.750865,0.131744,0.322575,28.577484,67.157717,33.969909,22.248005,11.721904,0.943609,0.618,0.325608,24.388151,0.677449,71.793397,0.769231,10,0.043478,1,0.956522,22,0.230769,3,0.909091,0.769231,0.833333,0.756759,0.871237,0.853108,0.888889,0.163136,0.836864,0.111111,0.890505,0.888889,0.886574,0.756759,0.871237,0.865745,0.875,0.888889,0.018,0,0.01,0,10,0,8882,99923,13712,91.666667,55.555556,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
ionosphere,1,2,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,29,6,0,82.857143,17.142857,0,0.620939,0.19632,0.383354,42.345762,79.31032,33.329976,24.742081,8.587895,0.952285,0.706917,0.245368,19.323174,0.552091,57.975361,0.692308,9,0.090909,2,0.909091,20,0.307692,4,0.818182,0.692308,0.75,0.625956,0.856643,0.842125,0.828571,0.227173,0.772827,0.171429,0.827706,0.828571,0.825155,0.625956,0.856643,0.851647,0.809783,0.828571,0.011,0,0.01,0,10,0,7458,100232,13403,91.428571,61.428571,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ionosphere,1,3,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,32,3,0,91.428571,8.571429,0,0.813499,0.11174,0.285955,24.102157,59.159922,33.329976,16.708227,16.621749,0.952285,0.477378,0.474907,25.574183,0.730691,76.730277,0.846154,11,0.045455,1,0.954545,21,0.153846,2,0.916667,0.846154,0.88,0.815076,0.933566,0.926154,0.914286,0.113586,0.886414,0.085714,0.914389,0.914286,0.913524,0.815076,0.933566,0.937009,0.906667,0.914286,0.012,0,0.01,0,10,0,9594,100232,13403,94.285714,57.142857,'Number of leaves: 16\nSize of the tree: 31\n',31,16,16
ionosphere,1,4,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,31,4,0,88.571429,11.428571,0,0.747292,0.154905,0.32069,33.412596,66.346058,33.329976,18.465391,14.864585,0.952285,0.527583,0.424702,22.697309,0.648495,68.098787,0.769231,10,0.045455,1,0.954545,21,0.230769,3,0.909091,0.769231,0.833333,0.75333,0.847902,0.840809,0.885714,0.161938,0.838062,0.114286,0.887662,0.885714,0.883437,0.75333,0.847902,0.848676,0.873188,0.885714,0.015,0,0.02,0,20,0,7814,100232,13403,91.428571,58.571429,'Number of leaves: 11\nSize of the tree: 21\n',21,11,11
ionosphere,1,5,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,33,2,0,94.285714,5.714286,0,0.873646,0.089792,0.224834,19.367931,46.5149,33.329976,9.710169,23.619807,0.952285,0.277433,0.674852,27.395491,0.782728,82.194754,0.846154,11,0,0,1,22,0.153846,2,1,0.846154,0.916667,0.880705,0.961538,0.951648,0.942857,0.096703,0.903297,0.057143,0.947619,0.942857,0.941718,0.880705,0.961538,0.954712,0.936594,0.942857,0.012,0,0.01,0,10,0,8170,100232,13403,97.142857,55.714286,'Number of leaves: 12\nSize of the tree: 23\n',23,12,12
ionosphere,1,6,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,34,1,0,97.142857,2.857143,0,0.937833,0.073497,0.180638,15.853158,37.371285,33.329976,8.12921,25.200765,0.952285,0.232263,0.720022,28.790521,0.822586,86.380263,0.923077,12,0,0,1,22,0.076923,1,1,0.923077,0.96,0.939651,0.951049,0.951648,0.971429,0.048352,0.951648,0.028571,0.972671,0.971429,0.971175,0.939651,0.951049,0.947223,0.968889,0.971429,0.01,0,0.01,0,10,0,8882,100232,13403,97.142857,62.857143,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
ionosphere,1,7,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,32,3,0,91.428571,8.571429,0,0.797688,0.108275,0.277885,23.717802,58.497826,32.502297,13.773388,18.728909,0.928637,0.393525,0.535112,24.991863,0.714053,76.892607,0.75,9,0,0,1,23,0.25,3,1,0.75,0.857143,0.814531,0.972826,0.936869,0.914286,0.164286,0.835714,0.085714,0.924176,0.914286,0.910787,0.814531,0.972826,0.963154,0.897959,0.914286,0.009,0,0.01,0,10,0,9238,100232,13403,94.285714,54.285714,'Number of leaves: 15\nSize of the tree: 29\n',29,15,15
ionosphere,1,8,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,32,3,0,91.428571,8.571429,0,0.797688,0.12037,0.289091,26.367281,60.856722,32.502297,17.536803,14.965494,0.928637,0.501052,0.427586,24.32803,0.695087,74.850188,0.75,9,0,0,1,23,0.25,3,1,0.75,0.857143,0.814531,0.875,0.856162,0.914286,0.164286,0.835714,0.085714,0.924176,0.914286,0.910787,0.814531,0.875,0.875308,0.897959,0.914286,0.014,0,0.01,0,10,0,9594,100232,13403,94.285714,67.142857,'Number of leaves: 16\nSize of the tree: 31\n',31,16,16
ionosphere,1,9,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,32,3,0,91.428571,8.571429,0,0.813499,0.113126,0.256693,24.780436,54.036494,32.502297,10.812241,21.690056,0.928637,0.308921,0.619716,24.742072,0.706916,76.124073,0.916667,11,0.086957,2,0.913043,21,0.083333,1,0.846154,0.916667,0.88,0.815076,0.967391,0.943846,0.914286,0.084576,0.915424,0.085714,0.917383,0.914286,0.915048,0.815076,0.967391,0.961272,0.906667,0.914286,0.011,0,0.01,0,10,0,7814,100232,13403,100,72.857143,'Number of leaves: 11\nSize of the tree: 21\n',21,11,11
